model,mse,mae,rmse
CNN,0.00014105754372630559,0.009173722191100303,0.011876764867854613
SACLSTM,9.999910621081016e-05,0.006800172698134894,0.00999995531044065
SCINET,0.00011793154308492025,0.007965870955166895,0.010859629049139766
RANDOM_FOREST,5.399245475965722e-05,0.004907315281361958,0.007347955821836248
XGBOOST,4.646005544604066e-05,0.004824484684360298,0.006816161342430258
RNN,0.00011720961874704432,0.007525761839591981,0.010826339120267954
MTSMFF,0.00010142510706885743,0.006805262417901294,0.010071003280153245
DILATED_RNN,9.909515923018351e-05,0.006760943981829634,0.009954655153755126
TRANSFORMER,0.00015792642407853503,0.009962216738856288,0.012566878056165543
TFT,0.00014067384190346368,0.009120048106875285,0.011860600402317905
PYRAFORMER,0.0001064960740588347,0.007129092146168239,0.010319693506051171
PREFORMER,0.0001817311011174141,0.011002873613358789,0.01348076782373371
AUTOFORMER,0.00011059949812606346,0.007227848050700625,0.01051662959916643
