model,cv_rmse,param_seq_len,param_hidden_channels,param_kernel_size,param_dropout,param_lr,param_conv_channels,param_lstm_hidden,param_stacks,param_levels,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_learning_rate,param_subsample,param_hidden_size,param_num_layers,param_out_len,param_enc_hidden,param_dilations,param_d_model,param_nhead,param_n_heads,param_seg_lens,param_moving_avg,param_e_layers
CNN,0.011153843853241523,40.0,32.0,5.0,0.2,0.001,,,,,,,,,,,,,,,,,,,,,
SACLSTM,0.011137921429956024,20.0,,5.0,,0.0001,32.0,64.0,,,,,,,,,,,,,,,,,,,
SCINET,0.01151653545025621,30.0,32.0,5.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
RANDOM_FOREST,0.0108520877231699,,,,,,,,,,200.0,8.0,5.0,2.0,,,,,,,,,,,,,
XGBOOST,0.010814915973512125,,,,,,,,,,600.0,3.0,,,0.01,0.7,,,,,,,,,,,
RNN,0.011199519890187453,20.0,,,,0.0001,,,,,,,,,,,32.0,1.0,,,,,,,,,
MTSMFF,0.011187119137763043,20.0,,,0.1,,,,,,,,,,,,,1.0,1.0,64.0,,,,,,,
DILATED_RNN,0.011125604980125452,20.0,,,,0.0001,,,,,,,,,,,32.0,,,,"[1, 3, 9]",,,,,,
TRANSFORMER,0.011218877257386628,20.0,,,,,,,,,,,,,,,,2.0,,,,64.0,2.0,,,,
TFT,0.0113048621972281,20.0,,,,,,64.0,,,,,,,,,,,3.0,,,64.0,2.0,,,,
PYRAFORMER,0.011561237723886699,30.0,,,,,,,,,,,,,,,,2.0,1.0,,,32.0,,2.0,,,
PREFORMER,0.011302050291522175,20.0,,,,,,,,,,,,,,,,2.0,1.0,,,32.0,,,"[4, 8]",,
AUTOFORMER,0.011253769206043452,20.0,,,,,,,,,,,,,,,,,3.0,,,32.0,,,,25.0,1.0
